0,1
Oral,
LD50,Rat>10000mg/kg
*Estimatesforproductma,ybebasedonadditionalcomponentdatanotshown.
Skincorrosion/irritation,Prolongedskincontactmaycausetemporaryirritation.
Seriouseyedamage/eye,Causesseriouseyeirritation.
irritation,
Respiratorysensitization,Notarespiratorysensitizer.
Skinsensitization,Thisproductisnotexpectedtocauseskinsensitization.
Germcellmutagenicity,Nodataavailabletoindicateproductoranycomponentspresentatgreaterthan0.1%are
,mutagenicorgenotoxic.
Carcinogenicity,Suspectedofcausingcancer.
IARCMonographs.Overa,llEvaluationofCarcinogenicity
