0,1
1.Identification,
Productidentifier,RustProofEnamelMachineryLightGraySprayPaint
Othermeansofidentification,
Productcode,18114
Recommendeduse,Coating
Recommendedrestrictions,Noneknown.
Manufacturer/Importer/Supplie,r/Distributorinformation
Companyname,"CRCIndustries,Inc."
Address,885LouisDr.
,"Warminster,PA18974US"
Telephone,
GeneralInformation,215-674-4300
Technical,800-521-3168
Assistance,
CustomerService,800-272-4620
24-HourEmergency,800-424-9300(US)
(CHEMTREC),703-527-3887(International)
Website,www.crcindustries.com
2.Hazard(s)identificatio,n
Physicalhazards,FlammableaerosolsCategory1
,GasesunderpressureLiquefiedgas
Healthhazards,Seriouseyedamage/eyeirritationCategory2A
,CarcinogenicityCategory2
,"Specifictargetorgantoxicity,singleexposureCategory3narcoticeffects"
,"Specifictargetorgantoxicity,repeatedCategory2"
,exposure
Environmentalhazards,Notclassified.
OSHAdefinedhazards,Notclassified.
