0,1
Appropriateengineering,Goodgeneralventilation(typically10airchangesperhour)shouldbeused.Ventilationrates
controls,"shouldbematchedtoconditions.Ifapplicable,useprocessenclosures,localexhaustventilation,"
,orotherengineeringcontrolstomaintainairbornelevelsbelowrecommendedexposurelimits.If
,"exposurelimitshavenotbeenestablished,maintainairbornelevelstoanacceptablelevel.Provide"
,eyewashstation.
Individualprotectionmeasure,"s,suchaspersonalprotectiveequipment"
Eye/faceprotection,Wearsafetyglasseswithsideshields(orgoggles).
Skinprotection,
Handprotection,Wearprotectiveglovessuchas:Nitrile.Butylrubber.
Other,Wearsuitableprotectiveclothing.
Respiratoryprotection,"Ifengineeringcontrolsarenotfeasibleorifexposureexceedstheapplicableexposurelimits,usea"
,NIOSH-approvedcartridgerespiratorwithanorganicvaporcartridge.Useaself-contained
,breathingapparatusinconfinedspacesandforemergencies.Airmonitoringisneededto
,determineactualemployeeexposurelevels.
Thermalhazards,"Wearappropriatethermalprotectiveclothing,whennecessary."
Generalhygiene,Observeanymedicalsurveillancerequirements.Whenusingdonotsmoke.Alwaysobservegood
considerations,"personalhygienemeasures,suchaswashingafterhandlingthematerialandbeforeeating,"
,"drinking,and/orsmoking.Routinelywashworkclothingandprotectiveequipmenttoremove"
,contaminants.
9.Physicalandchemica,lproperties
Appearance,
Physicalstate,Liquid.
Form,Aerosol.
Color,Lightgray.
Odor,Aromatic.
Odorthreshold,Notavailable.
