0,1
Transporthazardclass(es),
Class,2.1
Subsidiaryrisk,-
Packinggroup,Notapplicable.
ERGCode,10L
Specialprecautionsforuser,"Readsafetyinstructions,SDSandemergencyproceduresbeforehandling."
Otherinformation,
Passengerandcargo,Allowedwithrestrictions.
aircraft,
Cargoaircraftonly,Allowedwithrestrictions.
IMDG,
UNnumber,UN1950
UNpropershippingname,"AEROSOLS,LimitedQuantity"
Transporthazardclass(es),
Class,2
Subsidiaryrisk,-
Packinggroup,Notapplicable.
Environmentalhazards,
Marinepollutant,No.
EmS,"F-D,S-U"
Specialprecautionsforuser,"Readsafetyinstructions,SDSandemergencyproceduresbeforehandling."
15.Regulatoryinformation,
USfederalregulations,"Thisproductisa""HazardousChemical""asdefinedbytheOSHAHazardCommunication"
,"Standard,29CFR1910.1200."
TSCASection12(b)ExportN,"otification(40CFR707,Subpt.D)"
